Département,Votants,Blancs,Exprimés,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Bouches-du-Rhône,1027368,13341,1008620,24295,229038,24256,264753,108617,237971,11760,42109,36229,5963,20051,2.364780682287165,22.293666923633985,2.360984574174006,25.770025930338498,10.572355767358921,23.163170353758343,1.1446726002756558,4.0987260650516655,3.5263897649138376,0.5804151968914741,1.9516862506910864
Calvados,394349,5547,386231,8777,120366,9816,91774,22255,73950,6848,19621,18383,3764,7920,2.225693484705172,30.522709579585594,2.489165688260906,23.272279123314625,5.643478238818914,18.75242488252791,1.736532868093998,4.975541969169441,4.661606850784458,0.9544844794839089,2.0083732937068435
Cantal,90726,1803,88102,2496,25038,6848,21570,4906,12944,1810,2751,6987,650,1547,2.7511407975662987,27.597381125586935,7.548001675374204,23.77488261358376,5.407490686242092,14.267134007891894,1.9950179661838943,3.0322068646253553,7.70121023741816,0.7164429160328902,1.705134140158279
Charente,197699,3293,192666,5374,53126,8482,50432,10617,37305,4003,7557,8343,1763,4345,2.718273739371469,26.872164249692716,4.290360598687904,25.50948664383735,5.370285130425546,18.869594686872468,2.0247952695764777,3.8224776048437272,4.220051694748077,0.8917596952943616,2.197785522435622
Charente-Maritime,402765,5918,394067,10002,113753,14335,99790,24347,71633,6857,19012,19316,3403,9289,2.48333395404268,28.243020123397017,3.5591473936414535,24.776234280535796,6.0449641850706985,17.78530905118369,1.702481595967872,4.720370439338076,4.795848695889663,0.8449095626481943,2.306307648380569
Cher,164762,3146,160533,5749,43497,5495,44772,10822,27901,2585,5028,8147,1463,3770,3.489275439725179,26.39989803474102,3.335113679125041,27.17374151806849,6.568262099270463,16.93412315946638,1.5689297289423532,3.051674536604314,4.944708124446171,0.8879474636141829,2.288148966387881
Corrèze,146602,2517,142600,6292,33125,10177,31658,8012,27731,3605,5040,12278,1179,2618,4.291892334347417,22.595189697275618,6.9419243939373265,21.594521220720043,5.465136901270105,18.915840165891325,2.4590387579978445,3.4378794286571805,8.375056274812076,0.8042182234894476,1.7857873698858135
Corse-du-Sud,71552,1130,68861,1850,12932,6729,20139,9199,9330,624,2266,3772,608,1215,2.5855322003577816,18.07356887298748,9.404349284436494,28.145963774597494,12.856384168157426,13.039467799642217,0.872093023255814,3.1669275491949906,5.271690518783542,0.8497316636851521,1.698065742397138
Creuse,68979,1388,66848,2430,15542,4275,16772,3501,13679,1641,1906,4391,665,1556,3.522811290392728,22.531495092709374,6.197538381246466,24.314646486611867,5.075457748010264,19.830673103408284,2.378984908450398,2.7631598022586585,6.365705504573856,0.9640615259716725,2.255758999115673
Côte-d'Or,288973,4577,282745,5721,80734,8183,69110,21651,53875,5126,13462,14344,2286,6478,1.9797697362729392,27.938250286358933,2.8317524474604894,23.915729151166374,7.49239548331505,18.64361030269264,1.77386814685109,4.658566717305769,4.963785543978157,0.7910773670896589,2.2417319265121654
Côtes-d'Armor,375155,5722,366393,11628,113656,11949,79850,17319,74226,8279,19349,17235,3895,6404,3.0995188655355785,30.295744425637405,3.1850834988204872,21.28453572523357,4.6164918500353185,19.785422025562767,2.206821180578694,5.157601524703122,4.594101104876651,1.0382375284882248,1.7070277618584317
