Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent,employment,security,Winner_2017
LOT,112114,1767,109390,618,3559,27311,8032,21422,6123,25932,2766,4603,5648,976,2400,19.50343916,0.443716883,2.555321013,19.60898347,5.766883499,15.38074929,4.396243484,18.61887735,1.985956145,3.304900989,4.055198955,0.70075676,1.72317236,5303,31668,MACRON
LOT-ET-GARONNE,188397,2793,184102,889,4970,42568,13600,50290,15646,34044,3357,5686,7703,1437,3912,21.92545503,0.368414945,2.059642608,17.64081822,5.63604416,20.84093094,6.483937274,14.10834466,1.391191195,2.356363757,3.192238836,0.595514372,1.621191526,9819,54266,LE PEN
LOZÃ?RE,48132,741,46996,235,1343,10739,4722,10497,3148,9153,1045,1736,3039,426,913,19.52785394,0.392897746,2.245368822,17.95459105,7.894736842,17.54998997,5.263157895,15.30294924,1.747141042,2.902427607,5.080920217,0.712231659,1.526449542,2668,23639,MACRON
MAINE-ET-LOIRE,452397,8072,441342,3071,8362,157063,11036,89433,21704,80616,8801,26635,21538,3663,9420,23.22664074,0.521159482,1.419060759,26.65414255,1.872847947,15.1770941,3.683245003,13.68081824,1.4935606,4.520053015,3.65507422,0.621623961,1.598607074,18883,54266,MACRON
MANCHE,291153,4747,284458,2249,7368,92642,9421,69770,13990,46940,5853,11873,14746,2720,6886,24.29975066,0.584743625,1.915691877,24.08706934,2.449475187,18.14031247,3.637422552,12.20447567,1.521789435,3.086999139,3.833983771,0.707204385,1.7903711,11209,36233,MACRON
MARNE,279634,3826,274106,1778,5307,78472,6921,83756,19501,42858,3542,9561,14357,1894,6159,26.53660638,0.46710312,1.394216118,20.61558832,1.818234361,22.00376205,5.123159698,11.25933944,0.930528263,2.511795799,3.771765744,0.497577789,1.618047309,13034,354064,LE PEN
MARTINIQUE,130006,4001,122949,1447,747,20043,1162,16495,3153,65292,3935,1978,4731,977,2989,57.31826628,0.475058603,0.245244489,6.580234673,0.381491428,5.415405425,1.035148427,21.43574726,1.291883622,0.649389023,1.553215099,0.320754841,0.981306263,5614,62165,MÃ?LENCHON
MAYENNE,171910,3483,166908,1273,3313,60755,4673,37376,8042,25608,3468,7934,9236,1372,3858,23.50103684,0.566477692,1.474265982,27.03562624,2.079458175,16.63210545,3.578643835,11.395413,1.543240092,3.530584455,4.109966981,0.610532124,1.716787853,6825,33723,MACRON
MAYOTTE,37163,922,35050,430,206,5936,359,14958,482,8398,318,295,2810,328,530,59.68737458,0.466443208,0.223458839,6.439085771,0.389425841,16.22571512,0.522850293,9.109744324,0.344951023,0.320001736,3.048152126,0.35579854,0.574918372,3805,50091,LE PEN
MEURTHE-ET-MOSELLE,361138,5092,353800,2373,7961,95252,8739,97243,23518,73892,6362,14588,13387,3214,7271,26.60647039,0.482261201,1.617901991,19.35791992,1.776013755,19.76254783,4.779527575,15.01695942,1.292939639,2.964697179,2.720619766,0.65317636,1.477674334,13759,54266,LE PEN
MEUSE,100713,1509,98513,702,1957,24539,3500,34588,7347,13559,1483,3130,4403,883,2422,25.28986314,0.520752198,1.451726568,18.20333074,2.596342866,25.65780201,5.450094581,10.05823226,1.100107563,2.321872334,3.266199325,0.655020214,1.796669263,3437,38301,LE PEN
MORBIHAN,478452,7959,467374,2952,11529,152740,14399,102856,26595,84200,8267,27036,22838,4376,9586,21.43284092,0.484751351,1.893190492,25.08161295,2.364476528,16.89010332,4.367195865,13.82657988,1.35753368,4.439612987,3.750254527,0.718588047,1.574128203,19497,53686,MACRON
MOSELLE,535615,7943,524319,3499,8750,136366,14163,159254,39369,100159,7534,18931,19300,4343,12651,28.19346466,0.46908893,1.173057484,18.28173221,1.898744359,21.35018246,5.277954295,13.42768737,1.01003601,2.53796014,2.58742965,0.582238703,1.696040026,17659,137320,LE PEN
NIÃ?VRE,115336,1957,112441,833,4281,28686,4106,32838,7378,19930,2160,3552,5172,1010,2495,25.19684018,0.540256573,2.776516675,18.60480199,2.663017395,21.29765348,4.785129649,12.92594658,1.4009054,2.303711102,3.354390152,0.655052988,1.61817545,4775,39162,LE PEN
NORD,1299873,17416,1274781,7673,45902,336138,22459,373127,73168,279785,18215,46962,42470,8265,20617,28.33845855,0.423009792,2.530561121,18.53116975,1.238156773,20.57036032,4.033726114,15.42444868,1.004186545,2.588998548,2.341356167,0.455646544,1.136607961,43963,197405,LE PEN
NOUVELLE-CALÃ?DONIE,72966,1777,70500,565,399,28561,1031,13273,6435,9711,963,2161,4144,560,2697,66.64762105,0.25825856,0.182380824,13.05508449,0.471264736,6.067019239,2.941405018,4.438847573,0.440182289,0.987781856,1.894200838,0.255973086,1.232784667,11515,54266,MACRON
OISE,422040,6324,411714,2859,9054,100043,9179,132873,30333,79446,4251,13785,17450,3048,9393,25.18626323,0.506806164,1.604974819,17.73431586,1.627133186,23.5539893,5.377037905,14.08314883,0.753561736,2.443624683,3.093307996,0.540309614,1.66506831,14713,78830,LE PEN
ORNE,154603,2586,150950,1203,3261,46005,4895,41804,8910,22993,2368,5513,8838,1334,3826,24.78130565,0.58529323,1.586567934,22.38272242,2.381554749,20.33881813,4.334964824,11.18673919,1.152098395,2.682229077,4.299934805,0.649028404,1.861456276,6221,36961,MACRON
PARIS,1071357,11028,1055062,2891,17267,372820,12139,58429,86088,317372,22901,80268,69564,5732,9591,21.685861,0.211326547,1.262184536,27.25242594,0.887337585,4.271047678,6.292867455,23.19928364,1.674019115,5.867436633,5.084994792,0.418998191,0.701083679,23443,377867,MACRON
PAS-DE-CALAIS,807404,10601,790653,5887,26146,194610,17010,305816,40764,124741,11619,19295,25307,5488,13970,26.17838337,0.538253287,2.390550441,17.79335353,1.555238392,27.96101024,3.727086292,11.40517297,1.062334796,1.764157835,2.313839976,0.501772387,1.277288674,26401,54266,LE PEN
POLYNÃ?SIE FRANÃ?AISE,63455,1490,60030,808,368,24106,610,11705,4283,7990,865,2150,4725,451,1969,69.13307001,0.393041989,0.179009223,11.72607697,0.296727244,5.693758026,2.083414406,3.886640464,0.420768961,1.045841927,2.298420049,0.219383586,0.95779663,11515,54266,MACRON
"PUY-DE-DÃ""ME",367234,6938,357587,2556,12713,100134,16136,78182,20624,74534,8216,17029,17352,3189,6922,21.54846262,0.546033672,2.715855271,21.3914459,3.44710459,16.70187971,4.405867939,15.92256405,1.755169268,3.63787457,3.706876478,0.681260321,1.478734381,14194,54266,MACRON
PYRÃ?NÃ?ES-ATLANTIQUES,409795,5816,401490,1677,10170,111610,48246,69768,25877,76030,9276,19967,17166,4982,6721,21.18250761,0.32254404,1.956036305,21.46639253,9.27934391,13.41875525,4.977025709,14.62315047,1.784089751,3.840332045,3.301604642,0.958207755,1.2926765,14371,54266,MACRON
PYRÃ?NÃ?ES-ORIENTALES,274372,3528,268568,1312,6509,55169,11690,87930,24782,51556,5013,8588,8815,1995,5209,24.22253891,0.362354865,1.797688883,15.23685635,3.22860394,24.28495675,6.844419404,14.23899955,1.384515958,2.371877727,2.434571747,0.550989295,1.43864824,11883,54266,LE PEN
"RHÃ""NE",925646,12708,909013,3774,15938,278243,17572,150463,74168,229036,15895,51907,50263,5267,16487,21.63684172,0.319498555,1.349276091,23.55544155,1.487606944,12.73786727,6.278900058,19.38968495,1.345635806,4.394332668,4.255155237,0.445892657,1.395753226,47538,389434,MACRON
SAINT-MARTIN/SAINT-BARTHÃ?LEMY,8602,150,8368,41,48,2070,208,1445,1107,2354,92,247,354,63,339,64.7661178,0.16793643,0.196608503,8.478741706,0.851970181,5.918735152,4.534283608,9.642008684,0.376832965,1.01171459,1.449987712,0.258048661,1.388547555,11515,54266,MÃ?LENCHON
SAINT-PIERRE-ET-MIQUELON,2773,47,2701,22,19,534,108,459,80,1105,75,116,51,50,82,45.03468781,0.436075322,0.376610505,10.58473736,2.140733399,9.098116947,1.585728444,21.90287413,1.486620416,2.299306244,1.010901883,0.991080278,1.625371655,11515,54266,MÃ?LENCHON
